"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion","Particiopante"
0,1,0,0,30,30,1,0,1,8
0,1,0,0,30,30,1,1,1,8
0,2,0,0,30,30,1,0,1,8
0,2,0,0,30,30,1,1,1,8
0,3,0,0,30,30,1,0,1,8
0,3,0,0,30,30,1,1,1,8
0,4,0,0,30,27,1,0,0.9,8
0,4,0,0,30,27,1,1,0.9,8
0,5,0,0,30,30,1,0,1,8
0,5,0,0,30,27,1,1,0.9,8
0,6,0,0,30,30,1,0,1,8
0,6,0,0,30,27,1,1,0.9,8
0,7,0,0,30,30,1,0,1,8
0,7,0,0,30,27,1,1,0.9,8
0,8,0,0,30,27,1,0,0.9,8
0,8,0,0,30,21,1,1,0.7,8
0,9,0,0,30,30,1,0,1,8
0,9,0,0,30,30,1,1,1,8
0,10,0,0,30,27,1,0,0.9,8
0,10,0,0,30,30,1,1,1,8
0,11,0,0,30,30,1,0,1,8
0,11,0,0,30,30,1,1,1,8
0,12,0,0,30,27,1,0,0.9,8
0,12,0,0,30,30,1,1,1,8
0,13,0,0,30,27,1,0,0.9,8
0,13,0,0,30,30,1,1,1,8
0,14,0,0,30,24,1,0,0.8,8
0,14,0,0,30,27,1,1,0.9,8
0,15,0,0,30,30,1,0,1,8
0,15,0,0,30,27,1,1,0.9,8
0,16,0,0,30,27,1,0,0.9,8
0,16,0,0,30,21,1,1,0.7,8
0,17,0,0,30,27,1,0,0.9,8
0,17,0,0,30,27,1,1,0.9,8
0,18,0,0,30,27,1,0,0.9,8
0,18,0,0,30,30,1,1,1,8
0,19,0,0,30,30,1,0,1,8
0,19,0,0,30,24,1,1,0.8,8
0,20,0,0,30,24,1,0,0.8,8
0,20,0,0,30,24,1,1,0.8,8
0,21,0,0,30,24,1,0,0.8,8
0,21,0,0,30,27,1,1,0.9,8
0,22,0,0,30,27,1,0,0.9,8
0,22,0,0,30,27,1,1,0.9,8
