"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion","Particiopante"
0,1,0,0,20,20,1,0,1,10
0,1,0,0,20,17,1,1,0.85,10
0,2,0,0,20,20,1,0,1,10
0,2,0,0,20,20,1,1,1,10
0,3,0,0,20,20,1,0,1,10
0,3,0,0,20,20,1,1,1,10
0,4,0,0,20,16,1,0,0.8,10
0,4,0,0,20,18,1,1,0.9,10
0,5,0,0,20,20,1,0,1,10
0,5,0,0,20,18,1,1,0.9,10
0,6,0,0,20,15,1,0,0.75,10
0,6,0,0,20,20,1,1,1,10
0,7,0,0,20,20,1,0,1,10
0,7,0,0,20,20,1,1,1,10
0,8,0,0,20,18,1,0,0.9,10
0,8,0,0,20,19,1,1,0.95,10
0,9,0,0,20,19,1,0,0.95,10
0,9,0,0,20,19,1,1,0.95,10
0,10,0,0,20,18,1,0,0.9,10
0,10,0,0,20,6,1,1,0.3,10
0,11,0,0,20,11,1,0,0.55,10
0,11,0,0,20,17,1,1,0.85,10
0,12,0,0,20,20,1,0,1,10
0,12,0,0,20,20,1,1,1,10
0,13,0,0,20,20,1,0,1,10
0,13,0,0,20,20,1,1,1,10
0,14,0,0,20,17,1,0,0.85,10
0,14,0,0,20,20,1,1,1,10
0,15,0,0,20,20,1,0,1,10
0,15,0,0,20,17,1,1,0.85,10
0,16,0,0,20,20,1,0,1,10
0,16,0,0,20,17,1,1,0.85,10
0,17,0,0,20,20,1,0,1,10
0,17,0,0,20,20,1,1,1,10
0,18,0,0,20,17,1,0,0.85,10
0,18,0,0,20,17,1,1,0.85,10
0,19,0,0,20,20,1,0,1,10
0,19,0,0,20,17,1,1,0.85,10
0,20,0,0,20,20,1,0,1,10
0,20,0,0,20,17,1,1,0.85,10
0,21,0,0,20,15,1,0,0.75,10
0,21,0,0,20,6,1,1,0.3,10
0,22,0,0,20,17,1,0,0.85,10
0,22,0,0,20,20,1,1,1,10
