"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion","Particiopante"
0,1,0,0,20,15,1,0,0.75,7
0,1,0,0,0,0,1,1,NA,7
0,2,0,0,20,7,1,0,0.35,7
0,2,0,0,20,16,1,1,0.8,7
0,3,0,0,20,13,1,0,0.65,7
0,3,0,0,20,10,1,1,0.5,7
0,4,0,0,20,6,1,0,0.3,7
0,4,0,0,20,6,1,1,0.3,7
0,5,0,0,20,13,1,0,0.65,7
0,5,0,0,20,13,1,1,0.65,7
0,6,0,0,20,12,1,0,0.6,7
0,6,0,0,20,7,1,1,0.35,7
0,7,0,0,20,16,1,0,0.8,7
0,7,0,0,20,5,1,1,0.25,7
0,8,0,0,20,15,1,0,0.75,7
0,8,0,0,20,7,1,1,0.35,7
0,9,0,0,20,16,1,0,0.8,7
0,9,0,0,20,16,1,1,0.8,7
0,10,0,0,20,8,1,0,0.4,7
0,10,0,0,20,18,1,1,0.9,7
0,11,0,0,20,19,1,0,0.95,7
0,11,0,0,20,18,1,1,0.9,7
0,12,0,0,20,20,1,0,1,7
0,12,0,0,0,0,1,1,NA,7
0,13,0,0,20,9,1,0,0.45,7
0,13,0,0,20,20,1,1,1,7
0,14,0,0,20,14,1,0,0.7,7
0,14,0,0,20,11,1,1,0.55,7
0,15,0,0,20,8,1,0,0.4,7
0,15,0,0,20,6,1,1,0.3,7
0,16,0,0,20,11,1,0,0.55,7
0,16,0,0,20,8,1,1,0.4,7
0,17,0,0,20,20,1,0,1,7
0,17,0,0,20,15,1,1,0.75,7
0,18,0,0,20,14,1,0,0.7,7
0,18,0,0,20,11,1,1,0.55,7
0,19,0,0,20,11,1,0,0.55,7
0,19,0,0,20,14,1,1,0.7,7
0,20,0,0,20,8,1,0,0.4,7
0,20,0,0,20,11,1,1,0.55,7
0,21,0,0,20,8,1,0,0.4,7
0,21,0,0,20,20,1,1,1,7
0,22,0,0,20,20,1,0,1,7
0,22,0,0,20,15,1,1,0.75,7
