"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion","Particiopante"
0,1,0,0,30,25,0,0,0.833333333333333,5
0,1,0,0,30,25,0,1,0.833333333333333,5
0,2,0,0,30,30,0,0,1,5
0,2,0,0,30,27,0,1,0.9,5
0,3,0,0,30,30,0,0,1,5
0,3,0,0,30,30,0,1,1,5
0,4,0,0,30,24,0,0,0.8,5
0,4,0,0,30,21,0,1,0.7,5
0,5,0,0,30,27,0,0,0.9,5
0,5,0,0,30,27,0,1,0.9,5
0,6,0,0,30,13,0,0,0.433333333333333,5
0,6,0,0,30,16,0,1,0.533333333333333,5
0,7,0,0,30,22,0,0,0.733333333333333,5
0,7,0,0,30,21,0,1,0.7,5
0,8,0,0,30,13,0,0,0.433333333333333,5
0,8,0,0,30,6,0,1,0.2,5
0,9,0,0,30,27,0,0,0.9,5
0,9,0,0,30,27,0,1,0.9,5
0,10,0,0,30,24,0,0,0.8,5
0,10,0,0,30,22,0,1,0.733333333333333,5
0,11,0,0,30,28,0,0,0.933333333333333,5
0,11,0,0,30,27,0,1,0.9,5
0,12,0,0,30,27,0,0,0.9,5
0,12,0,0,30,30,0,1,1,5
0,13,0,0,30,30,0,0,1,5
0,13,0,0,30,30,0,1,1,5
0,14,0,0,30,24,0,0,0.8,5
0,14,0,0,30,30,0,1,1,5
0,15,0,0,30,27,0,0,0.9,5
0,15,0,0,30,24,0,1,0.8,5
0,16,0,0,30,27,0,0,0.9,5
0,16,0,0,30,27,0,1,0.9,5
0,17,0,0,30,20,0,0,0.666666666666667,5
0,17,0,0,30,17,0,1,0.566666666666667,5
0,18,0,0,30,27,0,0,0.9,5
0,18,0,0,30,26,0,1,0.866666666666667,5
0,19,0,0,30,20,0,0,0.666666666666667,5
0,19,0,0,30,24,0,1,0.8,5
0,20,0,0,30,27,0,0,0.9,5
0,20,0,0,30,27,0,1,0.9,5
0,21,0,0,30,29,0,0,0.966666666666667,5
0,21,0,0,30,30,0,1,1,5
0,22,0,0,30,30,0,0,1,5
0,22,0,0,30,24,0,1,0.8,5
