"Participante","Canal","EpocaMOR","NumEpoca","Epocas","Epocas_estacionarias","Grupo","Etapa","Proporcion","Particiopante"
0,1,0,0,20,16,0,0,0.8,2
0,1,0,0,20,17,0,1,0.85,2
0,2,0,0,20,16,0,0,0.8,2
0,2,0,0,20,15,0,1,0.75,2
0,3,0,0,20,13,0,0,0.65,2
0,3,0,0,20,14,0,1,0.7,2
0,4,0,0,20,15,0,0,0.75,2
0,4,0,0,20,13,0,1,0.65,2
0,5,0,0,20,16,0,0,0.8,2
0,5,0,0,20,16,0,1,0.8,2
0,6,0,0,20,16,0,0,0.8,2
0,6,0,0,20,14,0,1,0.7,2
0,7,0,0,20,16,0,0,0.8,2
0,7,0,0,20,15,0,1,0.75,2
0,8,0,0,20,14,0,0,0.7,2
0,8,0,0,20,17,0,1,0.85,2
0,9,0,0,20,16,0,0,0.8,2
0,9,0,0,20,15,0,1,0.75,2
0,10,0,0,20,16,0,0,0.8,2
0,10,0,0,20,12,0,1,0.6,2
0,11,0,0,20,15,0,0,0.75,2
0,11,0,0,20,19,0,1,0.95,2
0,12,0,0,20,18,0,0,0.9,2
0,12,0,0,20,17,0,1,0.85,2
0,13,0,0,20,17,0,0,0.85,2
0,13,0,0,20,17,0,1,0.85,2
0,14,0,0,20,9,0,0,0.45,2
0,14,0,0,20,15,0,1,0.75,2
0,15,0,0,20,9,0,0,0.45,2
0,15,0,0,20,12,0,1,0.6,2
0,16,0,0,20,17,0,0,0.85,2
0,16,0,0,20,15,0,1,0.75,2
0,17,0,0,20,12,0,0,0.6,2
0,17,0,0,20,15,0,1,0.75,2
0,18,0,0,20,11,0,0,0.55,2
0,18,0,0,20,12,0,1,0.6,2
0,19,0,0,20,12,0,0,0.6,2
0,19,0,0,20,6,0,1,0.3,2
0,20,0,0,20,15,0,0,0.75,2
0,20,0,0,20,15,0,1,0.75,2
0,21,0,0,20,20,0,0,1,2
0,21,0,0,20,20,0,1,1,2
0,22,0,0,20,14,0,0,0.7,2
0,22,0,0,20,20,0,1,1,2
