"","x"
"1",0
"2",0
"3",0
"4",0.000680913132801386
"5",0.0280539998087398
"6",0.00307226830613105
"7",0.0867268343695018
"8",0
"9",0.0513392329178562
"10",0.014491646857954
"11",0.00209521773895616
"12",1.44506821619927e-07
"13",0
"14",0.210998911244301
"15",0
"16",0.00396741539860335
"17",5.10702591327572e-15
"18",1.17011518013799e-05
"19",2.74225087082414e-14
"20",0
"21",0
"22",0
"23",0.0531057939216382
"24",0.036541779359086
"25",2.98664410980365e-08
"26",0
"27",0
"28",1.95487403209516e-06
"29",1.02449800403193e-05
"30",0
"31",5.96189764223709e-14
"32",0
"33",1.29527232357596e-05
"34",0
"35",0
"36",0
"37",0
"38",0
"39",1.40315579963968e-05
"40",0
"41",4.44644321362375e-13
"42",0
"43",2.57016630200724e-13
"44",0.000696370890076015
"45",0
"46",0
"47",6.80566714095221e-14
"48",0.000223856419560797
"49",0.282247940540008
"50",0.000397141942771184
"51",5.676316527925e-09
"52",0.0237382310587152
"53",0
"54",0
"55",0.0436435421212598
"56",0.0285225964967145
"57",0.549175703295654
"58",0.000419223781302325
"59",0.000128735986206552
"60",0.431876646856532
"61",0.545683748312407
"62",0.543497172192266
"63",0.096984375000322
"64",0.00105310152217686
"65",0.787807021483439
"66",0.0190201264365253
"67",2.36679554640462e-05
"68",0.0041801402267716
"69",0.00121821349812645
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",6.81794620760456e-11
"80",0
"81",8.08242361927114e-14
"82",0
"83",0
"84",0
"85",3.62551561318147e-05
"86",0.025658411367432
"87",3.72138208727391e-05
"88",0.0533289832195524
"89",0.145647333633409
"90",0.000103795616660851
"91",0
"92",0.00588363955262605
"93",0.0444075333272093
"94",2.41369079290177e-06
"95",8.28423727564642e-05
"96",0.317081771421211
"97",0.0997285407639078
"98",0.201775942432214
"99",0.000471447862997576
"100",0.00168855464951656
"101",0.189210271482273
"102",0.0347558448911536
"103",3.30624416733372e-13
"104",5.28521670872806e-12
"105",0.0335166455225805
"106",0.42160718260602
"107",0.169954774500253
"108",0.13095189288144
"109",0.643371299448951
"110",0.0685782148942318
"111",0.014794847242674
"112",0.000140678993693633
"113",0.0157732701518556
