"","f(3)","f(9)","f(15)","f(20)","f(27)","f(33)","f(39)","f(45)","f(51)","f(57)","f(63)","f(69)","f(75)","f(81)","f(87)","f(93)","f(99)","f(105)","f(110)","f(117)","f(123)","f(129)","f(135)","f(141)","f(147)","f(153)","f(159)","f(165)","f(171)","f(177)","f(183)","f(189)","f(194)","f(201)","f(207)","f(213)","f(219)","f(225)","f(231)","f(237)","f(243)","f(248)","f(255)","f(261)","f(267)","f(273)","f(279)","f(285)","f(291)","f(297)","f(303)","f(309)","f(315)","f(321)","f(327)","f(333)","f(339)","f(345)","f(351)","f(357)","f(363)","f(369)","f(375)","f(381)","f(387)","f(393)","f(399)","f(405)","f(411)","f(417)","f(423)","f(429)","f(435)","f(441)","f(447)","f(453)","f(459)","f(465)","f(471)","f(477)","f(483)","f(489)","f(495)","f(501)","f(507)","f(513)","f(519)","f(525)","f(531)","f(537)","f(543)","f(549)","f(555)","f(561)","f(567)","f(573)","f(579)","f(585)","row means"
"block 0",1.82607583944703,0.539302068496803,0.175535419305912,1.46061611322999,1.26816999940047,-0.107915363857829,0.100530071897138,0.657538915301424,-0.512868852179425,-0.113514970232157,-0.793023649853975,-1.01306017410152,-1.09008055204885,-1.86703056964174,-1.52860465425559,-2.79499075689539,-1.10785220407569,-1.80371621082373,-2.10989263866217,-2.288123007702,-2.78578301868048,-3.04626767075163,-4.695589592252,-4.43960331153506,-2.71556480840994,-2.49244345603655,-2.52209979075097,-2.32221589853285,-2.01769845390673,-2.30140277152219,-1.99131917868046,-2.6767840376585,-2.50384176986121,-2.7695515409014,-1.85771406390583,-2.26821482102835,-2.55997596210217,-2.15027338304963,-2.61505702960199,-2.70078422400624,-2.77040650823811,-2.39500970404845,-2.55607007293087,-2.74310532135758,-2.85449024590161,-2.94117701958305,-2.59831167800093,-3.98597717120618,-3.96345326582412,-3.90027855057374,-3.98947704041417,-3.16784467400934,-3.9222130210044,-3.25870145251875,-3.46661737113207,-4.03206239937643,-4.63637151384123,-5.26361703866364,-4.67887967700035,-4.67770682397188,-4.78025146302295,-4.45268085865643,-4.81962247722297,-5.13440358291823,-5.3464548629979,-5.29847641364345,-5.74218229840047,-5.45612817293793,-7.18745497442309,-7.75349708703905,-6.49895549515626,-5.75523757892047,-6.2371294136529,-4.83972810220953,-5.56019174947315,-6.25601229538874,-5.9678119296975,-5.6321209296184,-5.59749901399547,-6.71972996106603,-6.55579715614936,-2.84798727702706,-7.09521926372637,-6.16423797789166,-6.39151742534453,-6.17968923366216,-6.49156724824284,-7.20523120786686,-6.05399379814844,-5.98017033854584,-6.64719452558964,-7.09656129455089,-6.02000198377994,-6.26985836613302,-6.65232469078479,-6.73717449275762,-7.11179108699879,-6.92802679164211,-3.73266095233985
"block 1",1.48172505111023,1.01374230882378,-0.244994420591118,0.53313493158347,0.790386004045239,0.0519302516108641,-0.470880614912971,0.500809306510438,0.421815777291599,0.0757411127897095,-0.728929495611541,-1.40551461436375,-1.55509128030157,-2.34144144474617,-1.19245006140492,-1.400288029804,-1.33430112434175,-1.53043523968794,-2.49076767082525,-2.04769587633475,-2.71143048189808,-2.74731030531322,-3.67322725832149,-4.71827849464812,-3.37042820425072,-3.08511509480309,-2.30032781099757,-2.42559043091161,-1.91882495800167,-2.05634107531442,-2.33210625991161,-2.53575748959322,-2.10822605952817,-1.71625864949967,-2.04466687198601,-3.01541555214488,-3.1985352332395,-2.37202072832251,-3.55134320521496,-3.15843989185867,-2.30256775325385,-3.99511810175237,-1.82539785096247,-2.69680417851949,-2.69178039613276,-1.85332066206495,-2.73194941914768,-3.0100748002075,-4.16694126772891,-3.47182636207812,-3.28677828624124,-3.79821661877537,-4.48276135974118,-3.37515169820726,-3.95857373000539,-3.95238399905804,-5.18478744415929,-4.99219501411722,-4.5181122439967,-4.53892826019298,-4.46806069960648,-5.22159827067235,-5.13323428313525,-4.7292441854913,-5.31927983139448,-5.03099810376049,-7.40291433936626,-7.15287296752491,-5.887152580041,-6.7306687087706,-5.8429262406715,-6.34103330486543,-5.17645292283187,-5.99630304017921,-6.72215572517166,-5.3654736325285,-5.82480843977449,-6.87485077215022,-6.14542742444935,-6.30764994556779,-4.91415107540732,-3.18068955161963,-7.09472170645513,-6.26109281727105,-6.29904329582746,-7.20172341794651,-6.66590245903245,-6.49282002822206,-6.44498994514649,-5.86381039615288,-5.85273936699584,-6.3443008083131,-6.50472718870449,-5.96342497211104,-7.4309137536933,-6.22401961113883,-6.69692525045252,-6.35339800760949,-3.74703385409505
"block 2",1.65792776783962,1.10493152764745,-0.552645116582049,0.831263881746844,0.257783484682947,-0.0629429285372271,-0.731815912199514,-0.705127010550588,-0.206580480681679,-0.363664385160042,-0.601166010893998,-1.02463589258425,-0.929517086566923,-1.271069009595,-1.88218673795827,-1.78963738334328,-2.52829354127509,-2.69442302158254,-2.02583231015527,-2.78439358051964,-2.29403164949957,-2.86384067652056,-5.00338771250108,-5.43844205452988,-2.72506010977583,-3.0876829062534,-3.200606706269,-2.52263803712948,-1.36273190020178,-2.45903189888393,-2.3771074328541,-3.26104733544682,-1.77897153696246,-3.33028439057432,-3.55407439328204,-2.01961026556569,-3.3051195460742,-2.98189953606257,-2.00803425390838,-2.25557702426125,-3.03306193965053,-2.82762925101293,-2.9750540588054,-2.76069023211652,-2.80411476493048,-3.2699752716908,-3.09573029789081,-4.63884095549909,-2.89033487957268,-4.11392395901809,-4.00046586297566,-3.38262423119474,-3.63799698012618,-4.22555161008434,-4.16676314344011,-4.30733106042993,-3.99606004953845,-4.80321929246031,-5.37112399909262,-4.20585788230122,-4.88756649265671,-4.97434544083632,-5.08589571079246,-5.35613620806657,-4.69908081046861,-5.3822163309989,-5.99128428767988,-6.00661890919464,-5.94656289921092,-6.95457796184013,-6.07156063989109,-6.21181110810746,-5.53536886450522,-5.28861059896402,-5.88777203577775,-6.79548005405629,-5.73178100083637,-6.20496743134912,-6.20357626389805,-7.10057758215207,-6.47196131887711,-3.27321871166952,-5.94459952590818,-6.4846370674937,-6.91433625416007,-7.95850191974898,-6.81101508219501,-6.21662990156939,-5.82741433097663,-6.41257650360261,-5.7046388842263,-6.53208014281613,-6.08245442194756,-7.17721568681222,-6.10141974427962,-6.12516727971485,-6.9212706916962,-7.2193794823667,-3.86869245322448
"block 3",1.15251298521181,0.883553383165084,-0.489544103180424,0.655486674620308,0.81532423192031,0.424506089386275,-0.685419508479942,-0.712752241132744,-0.164485236066952,-0.500268032199905,-1.08039439055587,-1.495549962091,-2.96681750068363,-1.86965048026405,-1.85718789640212,-1.93795032291609,-2.59411612506244,-2.31646503170969,-2.74193566421434,-2.52711942405907,-2.5947651490934,-2.4050116029571,-4.69288155300355,-4.98141020855902,-2.76479863847745,-2.74508582295247,-3.85487885903266,-2.9957453079691,-2.82638440581704,-3.29095561963395,-1.84085034998827,-2.43148390271373,-2.43800927721863,-1.98898561963329,-2.5103875621599,-3.14276374445059,-2.73330038736493,-4.01697537481135,-1.89955198329545,-2.27066882292385,-3.05493895978901,-3.12328154706377,-3.77110783562666,-4.10202649353601,-3.32300654734782,-2.90119133391705,-3.43145129278496,-3.07744920764918,-3.1543241952033,-3.4933423328766,-3.75366924388581,-3.53630981199957,-3.97309736447881,-3.88056659257619,-4.44685298528708,-4.61587442124235,-5.00548420836963,-4.62189135685019,-4.70144699504738,-4.66946175568657,-5.10066817413609,-4.55816765320146,-5.20410272569071,-5.75905797312664,-4.70388027622796,-5.79673222203858,-4.95126675046045,-6.08061185070115,-6.98382812439811,-6.92952547463106,-6.79845857070038,-6.1470731799777,-5.84241078640004,-5.83642748502974,-5.91462114758028,-6.25632968067019,-5.76783614720524,-5.69638020405364,-7.10358330180878,-6.72121463804148,-5.91723847889464,-3.11828483879195,-5.70831680156062,-7.64439321508938,-5.6717939021482,-6.88598564389666,-6.10671187489361,-6.3010865782074,-6.98538500806266,-5.72238354195568,-5.76466375448756,-6.51256047642405,-6.59823587321306,-7.00559595493313,-7.40605058199091,-7.13187212381313,-7.27265272146493,-6.43801658584432,-3.95319740356877
"block 4",2.09129711023894,1.48306643152229,0.276091829708343,-0.177012192136696,1.06745272543682,-1.47230241547479,-0.607748264257208,-0.366042041170358,-0.630208242251414,-1.09594087024601,-1.5424866101566,-2.34372688368513,-2.05144973561014,-1.86264610746488,-1.30307040242861,-1.86944893826212,-2.56829436195217,-3.48283096948271,-2.26269629634131,-3.01092041402835,-3.25879225433659,-3.83112533871207,-4.82735549116424,-4.46931468588728,-3.39112043845618,-3.340388646457,-2.36634823833986,-3.22428428972662,-2.56896064590835,-1.76381343010538,-1.9728535435751,-2.65144226141408,-3.60078960509775,-2.75923784065732,-3.68659811220752,-1.99076573457113,-1.99387466902922,-2.66704569133979,-3.04993267681262,-3.19172898140018,-3.09328660649046,-2.89231319248584,-3.02288851243231,-2.42407898892365,-2.83968041811069,-2.73668608268553,-2.95484804415166,-3.47182465076948,-4.00234523734909,-3.49524097681748,-4.05412335046655,-4.12475276807325,-5.51238891005062,-3.68891961681832,-3.34973219545636,-4.40103541297677,-4.60156465429386,-5.15422783264609,-5.60051820974828,-4.39306002087264,-4.46419884895778,-4.92737947444388,-5.43600227984362,-4.58134665061044,-5.61360477862473,-5.2943405620302,-5.85438397006408,-5.60279630332872,-5.89628977655256,-6.5100104666831,-7.26053813574414,-6.29682774468738,-5.60529973322086,-6.07722378289809,-6.68806254620125,-5.6560324925656,-6.49341840654441,-5.45872372614776,-6.46197627256266,-6.92345510281548,-6.63415566287025,-3.21629157677041,-6.95629605165134,-6.79401804529166,-5.84288015893236,-7.05206379227204,-6.4848493051488,-6.18850479302669,-6.04723493157062,-7.2403026005627,-6.59148711862878,-6.87320458407977,-6.03472685011378,-6.29926632428922,-6.35758851546969,-6.44626983792314,-6.58370550749028,-6.84343111901412,-3.97690196667849
"block 5",2.62013195867259,2.3657867138152,0.71642790508722,0.885118516285625,0.648659406122509,-0.503974800768742,-0.582840295192163,-0.580021774461531,-0.247509548784977,0.0146626534741623,-0.434948462668962,-1.34539927230541,-1.33811731798134,-1.67268632216235,-1.2919874356917,-1.63948619637558,-1.46503734338457,-2.10391121234652,-1.4920087717386,-3.41690102886066,-3.24587243205622,-3.31774777630108,-4.66752382870311,-5.39395659589139,-2.89946518130619,-2.03573635867138,-1.96358977663654,-2.43253156199653,-2.44037592368005,-1.43994305083473,-2.78194329401805,-1.55602509790931,-2.70940363434836,-2.4126660162562,-2.31435800064028,-3.12872572443841,-2.42873449824914,-2.98413726427924,-2.76300304896647,-2.98189406374482,-3.10838607726549,-2.80622561751736,-3.40113286660443,-3.36388581768486,-3.13393901782973,-2.34286468728985,-1.75849600090457,-2.46650271339003,-3.65455492599192,-3.52775776234797,-3.93376530961411,-3.96943657004433,-4.6804565159463,-4.07203999022806,-5.0283004879966,-4.21678653615124,-3.88412127184806,-4.5688710072306,-4.81695398694909,-5.23905844514662,-4.47289500630105,-4.90638814281719,-5.09443315540103,-6.0639897812973,-4.82946191700628,-5.92697956364346,-5.2758891605547,-6.50448265011169,-7.09609302395187,-6.94631524588032,-5.98796730415427,-6.01405212420963,-5.80685671921506,-5.48999916264026,-6.58764315843315,-5.92742760465454,-6.14928295200385,-5.41183709086621,-5.70588485408952,-6.29122438597544,-6.34097801318832,-3.28334714524689,-6.75271688926026,-7.01852301406342,-6.49158955806583,-6.15643085419923,-7.58453734192148,-5.90826083700216,-5.73745553217285,-6.76656618867132,-6.57745749104304,-7.19534593937345,-6.59074977913107,-6.5683146949644,-5.725050886034,-6.45361304349879,-6.03341743775332,-6.78320010898283,-3.7876721339179
"block 6",3.52033982564977,2.23004337722531,1.03954750650108,1.13389278583786,-0.35477094715827,0.346233838718471,0.258816941092417,-0.378082189819199,-0.895841100345501,-0.839241708488947,-1.19943402238852,-1.51586983027218,-0.927812946981876,-1.46214106807359,-1.36633202129988,-1.57032409914585,-2.68337932659476,-1.5735023134858,-1.32303937106881,-2.33091516588954,-2.2461047434848,-3.18369685839323,-4.42067910896327,-4.77668526302972,-3.33802301432642,-2.42650054599134,-2.39180253225942,-2.38129225458509,-2.8149823357057,-2.28351721883302,-2.28925310550907,-3.02625736133256,-2.83108986527956,-2.85406519583974,-2.03849275667292,-2.39730861074798,-2.23377778235429,-3.14207998346026,-3.40095700762585,-3.16374479118461,-3.70842645710442,-2.53090758761191,-4.0865147290609,-4.36846912399262,-2.64687452915744,-3.02194656843938,-2.59403084468566,-4.59388403722349,-3.97169318308942,-3.37919674937695,-4.52574502432504,-3.26833709347212,-4.08535957306857,-4.4096277222475,-4.14910359065376,-4.04041662726713,-4.01738266010172,-3.94990558331847,-4.18245824124135,-6.07129957610994,-4.42266454296874,-5.03462810031069,-5.05831010779218,-4.66767043434083,-5.38530953844499,-5.52513128367776,-6.15430693806484,-5.89581172648014,-5.95984494442705,-5.76472355255095,-5.8022793262751,-5.80085775960078,-5.50860627197446,-5.47711144645624,-5.90350801510078,-6.24991454683486,-6.27000598819657,-5.90320784524569,-6.11176857446421,-5.62596790832103,-6.39405279575968,-3.07636700090093,-6.13601972403076,-6.03072886648289,-6.93648947186342,-6.18845270962383,-6.31780274090214,-7.24802200564682,-7.29761385580941,-6.31782382726487,-6.83804026459188,-6.4143263810449,-6.68267892645498,-5.89419554777314,-7.27898867972345,-7.82493944199192,-6.6833916207896,-6.17052046268776,-3.81005902906107
"block 7",2.01092589294298,1.42549820448421,0.25165794175871,0.342229917376066,-0.0973598996619268,0.0658864760687545,-0.318578862021537,-1.44162935751996,-1.23353972802722,-0.660629742393388,-1.82546856354773,-1.20101793341317,-2.30313594825444,-2.405791403852,-2.3766005479779,-2.26935697250633,-1.64315805536491,-1.72701793846029,-2.67412625257535,-2.03016939152006,-2.20258863119896,-2.86528948261048,-4.60011318991421,-3.37206116245454,-2.75093195110188,-2.57584567192287,-2.37514628656258,-2.96528657638123,-2.42800803025131,-2.42427254571352,-2.25179905735055,-2.9163363130889,-1.95106905226557,-1.93759798652427,-2.04495133199775,-2.21436444916994,-2.31661209577635,-2.56186145722447,-2.61434892334933,-3.8667738275958,-3.230919933902,-3.47737644717516,-2.67523908064156,-2.91201669501853,-2.896889367794,-2.6565888577073,-3.24518810832201,-2.97215120481441,-2.77579340740476,-4.12725997284168,-3.50269682305998,-3.78905905562726,-3.55486318998726,-4.35363729891032,-4.44715900346995,-4.33390121991112,-4.28520709742266,-4.68641034833776,-4.7728924216752,-5.61032102055913,-4.67839802630401,-5.21314219988803,-5.51213798047385,-5.24357481306187,-6.76498732952057,-5.39334852779378,-6.19286077282637,-5.97254163149058,-8.17842118544172,-6.35969146070712,-6.46498102841345,-5.4469266999823,-5.57593990412658,-6.01448087104494,-6.77159651588972,-6.98499414595539,-6.93063276596719,-6.88614700160119,-6.48773597609391,-6.36229519681313,-5.74191583419653,-3.16485062247597,-6.45753759596129,-7.20220664350009,-6.71552545735615,-5.64209984742631,-6.08675338410567,-6.34624245907675,-6.36117343174303,-5.93848142546208,-6.75563817538153,-7.16817040346149,-7.04232903545309,-6.78078106688916,-6.15883486665333,-6.45568235368328,-7.14252769169433,-5.59362636409594,-3.91674919830116
"block 8",1.72166255864625,1.52921685187792,-0.20993690337767,0.289914421300311,0.542733753812746,0.724546155775598,0.324936163150188,-0.0569584728514115,-0.305158271347794,-0.39861144507179,-0.45523519211272,-1.10410598081023,-1.53538872828202,-2.15134511818895,-1.81183649950212,-1.72971601874847,-2.09780618786096,-1.92398233290137,-2.01985074875683,-2.85409008242062,-1.55482559650337,-3.00399394397246,-4.9761859611569,-4.1977639100273,-3.21302911581317,-2.97811112632051,-1.86606111104856,-1.72084916520852,-2.27311155879375,-2.77899063267796,-2.55157638309746,-2.01857735924668,-3.00626882231403,-2.84159877856594,-2.86681844109774,-2.34293335236995,-2.95291803891238,-2.60330175663331,-3.15429218173255,-2.18377354798927,-2.75355884741576,-3.55378270929503,-2.63589033735563,-2.98013995814432,-2.59542007907103,-3.28415838277794,-2.45616060500339,-3.76438669240222,-3.13391248818667,-3.47770338520788,-4.12361545047152,-5.11614032212901,-3.56710961084884,-4.08950712166463,-4.22130579160075,-4.39256057747959,-3.901531880109,-4.55411877346228,-4.34172208019007,-5.12562773508031,-4.00023040153105,-3.8995902528281,-4.8650277237477,-5.88691683530581,-5.33145319310917,-5.452866041695,-5.66545655997947,-6.47656078168541,-5.73933558613838,-5.73179186525077,-6.75921609214138,-6.06854572684365,-5.70498340919478,-5.77530243135461,-5.93373013673843,-6.06352151630061,-6.21266084660764,-6.81079946615122,-6.1663878490394,-6.4605494339011,-5.82410949712471,-3.14497881460459,-6.27646645383644,-8.06023393997981,-6.34685944014843,-5.93695288744261,-5.91533286656021,-6.45711509238904,-5.99359417194196,-6.2611633619883,-6.51596513287595,-7.1136215332909,-6.25225432053265,-6.74809200609129,-6.64021753869574,-6.11456812070031,-6.88525702117048,-6.67965198988736,-3.78413985742706
"block 9",2.92610088727293,1.62722919477556,0.0282005809842375,0.587540168666057,-0.434118240914344,-1.25923488907013,-0.617549083901386,-0.303194760967865,-0.987734539043378,-0.723431178899634,-1.39441868978565,-0.907533111357078,-1.89652326872335,-2.31232123484319,-1.59091643392975,-2.35963505846689,-2.58611294508284,-2.61212442395952,-2.57123264937838,-2.62511866341013,-2.32784091956664,-3.28167924939433,-3.44926854760454,-4.72078541481772,-2.20667991652971,-2.09173855418976,-3.01315782220776,-2.56920947268537,-2.45750912005533,-2.03666725694325,-2.43740709908718,-2.14891172716217,-3.752820085173,-2.61005283098424,-2.67871709386069,-2.57849567339568,-2.43604254574979,-2.13466551626596,-2.95561824323955,-2.64365761356639,-2.13816175322593,-3.15849430736131,-2.37571229869579,-3.52804494204848,-2.97036990322673,-2.92332461465475,-2.0401099843961,-3.57635956574584,-2.94501641673727,-3.21894537624893,-3.4604041284942,-4.36653289276614,-4.10564428936464,-3.82694786250066,-4.31440874376009,-3.79514275592656,-4.26108382955352,-5.24908903055951,-4.55642768036742,-5.66048266153824,-5.57730587750027,-4.93436097482498,-5.37080623246929,-5.4627931935654,-5.71917121490004,-4.47065558365573,-5.51438662096483,-6.91530626210295,-6.57602441840168,-6.37311264187563,-5.90579535076036,-5.46767850787696,-5.83616448016366,-6.47875125247775,-5.92284664206811,-6.35325075356856,-6.82250469743667,-6.04086188204554,-5.59778131179076,-5.49979809665368,-6.2088962194373,-3.04448434818962,-6.62166999055112,-6.92487303939236,-5.75198410530673,-5.9508826608935,-6.37730173535375,-5.85137311228151,-6.28660875912261,-6.39441448266505,-7.05835826684855,-6.87217650046651,-6.2146420596114,-6.88158050143437,-7.05743291174212,-6.68547168118625,-7.2266188290687,-7.20648882473733,-3.86192214390895
