"","f(3)","f(9)","f(15)","f(20)","f(27)","f(33)","f(39)","f(45)","f(51)","f(57)","f(63)","f(69)","f(75)","f(81)","f(87)","f(93)","f(99)","f(105)","f(110)","f(117)","f(123)","f(129)","f(135)","f(141)","f(147)","f(153)","f(159)","f(165)","f(171)","f(177)","f(183)","f(189)","f(194)","f(201)","f(207)","f(213)","f(219)","f(225)","f(231)","f(237)","f(243)","f(248)","f(255)","f(261)","f(267)","f(273)","f(279)","f(285)","f(291)","f(297)","f(303)","f(309)","f(315)","f(321)","f(327)","f(333)","f(339)","f(345)","f(351)","f(357)","f(363)","f(369)","f(375)","f(381)","f(387)","f(393)","f(399)","f(405)","f(411)","f(417)","f(423)","f(429)","f(435)","f(441)","f(447)","f(453)","f(459)","f(465)","f(471)","f(477)","f(483)","f(489)","f(495)","f(501)","f(507)","f(513)","f(519)","f(525)","f(531)","f(537)","f(543)","f(549)","f(555)","f(561)","f(567)","f(573)","f(579)","f(585)","row means"
"block 0",3.78101431317068,0.52289902792456,0.551662868969491,-0.690434567340423,-0.824605185110007,-1.7537595053142,0.83938592947714,-0.419998513527379,-0.727357832241608,-1.1297995412623,-2.7650644592439,-2.724865872539,-2.03048934731464,-2.9628466719066,-2.98475506948896,-3.15285832252932,-3.4747743813692,-3.61474318431718,-3.46930484629586,-4.28097230965867,-5.08988134580574,-5.14561254588419,-5.85198009650489,-5.84501681353282,-4.85903569940434,-4.62137971793731,-4.89523786190234,-6.00375556297094,-5.49278945514286,-5.53583208478629,-5.16086947962881,-5.47509104033049,-5.06148826233229,-5.26987074110336,-5.73974578595682,-5.20802694824202,-5.27723757854823,-4.85491021022383,-6.08234787008674,-5.68460399944737,-6.02801137875865,-5.93899051048079,-5.90932938586084,-5.37240596166106,-5.32484797229052,-4.0142533529448,-4.71425750521355,-6.26193506648372,-5.62862037757986,-6.09995609757578,-6.30129194275545,-6.98537169911928,-7.91996829780791,-6.28138824359241,-6.40257352601399,-6.45049150388536,-6.91957341231504,-6.24316802980915,-6.65394626693066,-6.66561975026725,-6.31618586297599,-6.37775111043328,-7.13683296315913,-6.64956691475321,-6.3364014691142,-6.68639970146543,-6.85171813424141,-7.4217523176385,-6.78831762940323,-7.54367198556024,-6.03553434984712,-7.24211772880163,-5.99366224277673,-5.9403760688731,-6.16764020100736,-6.71939603124995,-6.40589636747911,-6.49330991943133,-7.44049702210377,-7.49726412631046,-7.3826541343297,-5.41394776709244,-7.33290294501781,-6.31198283872714,-6.33809971031332,-6.93855067677642,-7.58006152259452,-7.30847675164672,-6.23594527232942,-6.76977859720638,-7.25747363216537,-7.09630417342052,-6.81805783630697,-6.44652843078226,-6.44401382082595,-6.35396912927115,-6.55623867910146,-6.74119238219517,-5.26482501324248
"block 1",2.56603418886325,1.26255483283101,0.0828982240150757,0.121534798408128,0.0632255957951682,-1.59289413797354,0.280347574571084,-0.0222913226030778,-0.950509706513178,-2.96232007499265,-3.06492207660948,-1.7046207792895,-2.45838697971472,-3.29588911526578,-3.19675464283536,-4.42567085548176,-4.07283293229108,-3.53756102655993,-4.22573244462619,-4.81884387788372,-4.99349070442684,-5.0675672061136,-6.19343657634502,-6.23195894395097,-5.86112778012723,-5.47569892636862,-4.94505816343937,-4.94504489877941,-5.43547420955776,-5.02917514844806,-4.65749478033211,-4.92228093276997,-4.73066582046871,-4.79145940906443,-4.8267441470133,-5.24208576738969,-5.42896829604848,-5.49799562293818,-5.65887834971865,-5.63463469064377,-6.28181130584958,-5.82421575346526,-6.18266480416041,-5.39889717245339,-6.10901584993573,-3.87591743858278,-5.20347476435482,-6.48887822043133,-5.20127278972543,-6.58632339068001,-6.88272553144673,-5.81255287151292,-7.82545355309153,-5.90779199613387,-5.65463597922425,-6.42914664459359,-7.25432155852977,-6.39283772020452,-6.54128094803514,-7.59515104471875,-6.28850842540238,-6.47500082955002,-7.49021197474055,-6.64821783584036,-6.06621447670032,-6.5481070629222,-6.22982868906444,-6.80863323486378,-7.26741029983187,-6.77623039086948,-6.90228660217563,-6.95031693087189,-6.42616067543227,-8.10796995252903,-7.08240299966288,-7.05961871695896,-7.41528999729978,-6.96269635801345,-7.24382882443955,-6.06305026695305,-6.83137136898403,-5.1668013749149,-7.09497007385893,-6.64118813962416,-6.51669096247396,-7.32873776150493,-7.01851876449603,-6.72000434108647,-7.06598207559308,-6.83468542208553,-6.54512466537269,-6.64338357214607,-7.13062718685442,-6.78224325300656,-7.19749396238795,-7.48679093873817,-6.7530699318117,-6.04706611654702,-5.34272427474325
"block 2",4.55766771714782,0.523060998516961,0.891455623748226,0.97926987150993,-0.377068882210241,0.62283392868085,0.212011306533697,-0.0365031034629979,-0.035648550858738,-1.44921720104036,-1.04156870898991,-1.14802247227053,-1.89651174468138,-2.88177230047091,-3.00485417860938,-3.97689662166982,-3.7459743579315,-4.33370134197417,-4.10582872495792,-4.25786124018852,-5.36273258627418,-5.53522879479452,-5.96782447412357,-6.04748095818611,-6.84769092845167,-5.75130561597369,-4.55324665281579,-5.72553925324531,-5.16184578525636,-4.88158027146972,-4.68934152426875,-6.17561585158256,-5.09901099905215,-5.56343432800778,-5.20585087027228,-5.33712393991396,-5.39624241663935,-5.65961360332089,-5.43007281900313,-5.11261694581024,-6.01288603865981,-5.72276964148805,-5.52417176505432,-5.58407065491387,-5.77502375616237,-4.44812056498152,-5.2080056437178,-5.96800995555282,-6.21306647763566,-5.78835876339277,-5.97772122226439,-6.44822023913743,-6.76229795564441,-6.52072882566485,-6.13773647813741,-6.46304415072626,-6.33438081805612,-6.30571882989671,-5.90120231189708,-6.54323244065595,-6.81785067193772,-7.44239433984897,-6.65614705716062,-6.25931131054318,-6.26337631050988,-6.12727170216928,-6.95635884491419,-6.83271130144253,-7.27435393305292,-6.55821571381024,-6.35923080107289,-6.40064208719937,-7.12155544190271,-6.54838103919139,-6.64807470516985,-7.13607141131503,-7.18745921963836,-6.65602177757855,-6.35715000605566,-6.33651080071399,-6.90593928155218,-5.10267057227174,-6.69182166704726,-6.40902790890733,-7.2640149722498,-6.73342901554817,-6.77456675742692,-7.35851500051079,-7.32433794079687,-6.22742452379243,-7.36916760530058,-6.55616919750438,-6.19707163737928,-6.71631004531884,-6.93690517744862,-7.45039607085821,-6.43782214871988,-6.51267944208518,-5.18933318954313
"block 3",5.42652721573617,1.80099314564824,1.53200777223937,1.14347291767187,1.00998913199169,0.736313600881001,0.662219023820684,-0.682723006799868,-0.474077235140754,-1.01869741678979,-1.75743820249968,-1.77531015456386,-3.07461213450566,-2.15875631300963,-2.82345734057833,-3.02855348330423,-3.31853498054719,-4.30747315779859,-3.97735970271311,-3.90448668468977,-4.58498277764131,-3.54790404520444,-4.72604437338377,-5.05650716868251,-3.79937380470783,-4.29858888461192,-4.91482286217496,-4.45943724554206,-4.25146410458873,-5.06239530556724,-5.74937439083251,-5.55639647018977,-4.83465621906597,-5.50852555355177,-4.79737087527897,-5.44411817745964,-6.35943036758267,-5.44487298014425,-5.09363650985705,-5.78273928316152,-6.19721706324757,-6.32809578617342,-6.35180065140862,-5.75373907777889,-6.01286020025961,-4.13039721874669,-5.12332580195863,-7.14647905793358,-6.14453563551139,-6.65946918035597,-5.66753044624963,-6.97259013979503,-6.11639746349502,-6.15377734878033,-6.2172933055764,-6.42569585426991,-6.98355992993818,-5.85230877655311,-6.3421565810294,-6.88489723818815,-6.41398073389658,-6.86979030423382,-6.51675413793442,-6.11977537336774,-7.2041719872169,-7.14392345448731,-6.82408020775688,-7.06531484905903,-7.28569198599575,-6.59311802143665,-7.1506468087699,-6.65692125264262,-7.0906208271976,-6.5510741545829,-6.9730353181285,-6.75392216498698,-7.03247188601692,-7.32775169092225,-6.46725367613914,-6.43575759801845,-7.04462984487966,-5.17259545341735,-7.16231404550788,-7.33346029424676,-5.90140880664847,-6.81165002301855,-6.86860977688828,-6.41797897203598,-6.84455645318797,-6.21428991769542,-6.91772635429488,-6.70243953349169,-7.09778197101771,-7.40889867217354,-6.92989242079886,-6.16926134390332,-6.74287447264731,-6.20198535190105,-5.09331770716301
"block 4",4.18523326117863,1.33095046840809,1.25727080568296,2.47085439823793,1.88415753550884,1.45018235294731,0.882707271424999,0.220828411845953,-0.143453313920715,-1.58076286119257,-2.12537422491714,-1.49420644437838,-1.98778896008765,-2.99038997131398,-3.03074932057041,-2.96154280087412,-3.39320765171033,-3.73624524098986,-3.78073526682213,-3.88076930774678,-4.63748261663332,-4.6984448556691,-5.66369630999507,-5.92145188452983,-5.54709780252892,-5.68895683815096,-5.15178826394076,-5.25094394141476,-4.47079856245042,-4.46344594749839,-4.42338631721908,-4.95891006949347,-4.65013319563005,-4.27779954555706,-5.53060897164374,-4.8827905179877,-4.8372155398877,-4.9627525507668,-5.67958958737507,-5.37738502235561,-5.81417620296586,-5.02319226910731,-5.42708272282812,-5.48490285737372,-5.9856210999631,-4.33049533802579,-5.33357269181189,-5.16054180430674,-5.58506868543654,-5.64014968968197,-5.75613958698538,-4.92461149589137,-5.96138100443832,-5.56243078074571,-6.85947939448209,-5.8709655061314,-7.12670525266842,-6.9368932891932,-6.84096737611331,-6.71559690806188,-5.97567010574353,-5.80116636397356,-6.6217139941519,-7.26354090777552,-6.85849432246014,-7.76139127125621,-6.58599493475306,-6.88583496444179,-7.68142799853651,-6.69021732600948,-6.44034154743014,-6.38448898307969,-6.84383001783481,-6.81661512139261,-7.40937196681669,-7.23116964722988,-6.39740147666179,-6.30932652959002,-6.48563757125293,-6.43801775204515,-6.43226280473569,-4.83503179536857,-6.48209568777305,-6.04498111392279,-7.13405330220991,-6.1509077780021,-7.71495163008577,-6.852956930617,-6.20346201151578,-7.15374412658235,-6.97344684908543,-7.04644614987759,-6.66273172476829,-6.29157617375683,-6.60747725333266,-6.73870706757172,-6.77461651483074,-6.95866598010538,-4.98752511074292
"block 5",3.40315066977643,0.110628775089487,0.424284772937722,1.12594027489105,1.08807763766634,-0.301002833215078,0.495062300094651,0.179457980940425,-0.0917541567532196,-1.51223716335471,-1.12701009358522,-1.88860938294719,-2.40610095719545,-2.19861058313004,-2.02137475100183,-3.28929484147175,-2.99636459944784,-2.94335904810645,-3.03037757627287,-3.91276030441895,-2.66884090997243,-4.35705607248614,-5.94942699029357,-5.51896598369534,-4.37151760501223,-3.52897740998935,-4.20773180219498,-3.5284945811955,-3.24139272502514,-3.44630985931079,-3.45886892897532,-4.39166291022079,-3.34444945949287,-3.51312310223502,-3.71469484467306,-3.55871623312503,-3.58466679630394,-3.40611125586115,-3.93129075423903,-3.96505249249115,-3.50415064585896,-4.85888617587299,-4.72900604345853,-3.47754097015101,-4.29242001562968,-4.71916704935695,-3.51763573912103,-4.46966744263314,-4.83022889027317,-3.93398901310308,-6.1205300693182,-4.12098338973401,-4.47050603610117,-5.54462257372224,-4.5113920202632,-4.68311281797581,-6.0727263120859,-5.50941034517318,-5.79066288913668,-5.4910052165859,-5.91482993588028,-5.82240686192213,-5.59041650215414,-6.58279369564113,-6.04122941933986,-5.38349027780176,-6.54144640121077,-6.2131790845304,-6.97386823305659,-6.14662472883481,-7.57956662290308,-6.19354967607021,-6.49491713259959,-6.40059752508638,-7.37293501160109,-5.35417424013478,-6.3827803721537,-6.27896989519589,-6.90010178725891,-6.83181358659999,-7.29165459504661,-5.48027016015809,-5.58869466248661,-6.65888080557207,-6.39736595684303,-6.56380902503838,-6.45240763197734,-7.34340700948684,-7.42231506818185,-5.92975136558851,-6.75320316429704,-6.35619643181033,-7.23020926030276,-7.37496087486069,-7.58107504725432,-7.3078482285828,-6.03706529899063,-5.68897217871706,-4.48658189803084
"block 6",3.30884892078735,1.36687811556526,-0.165311449982973,-0.291419464502633,1.82172481033766,0.573159010690662,1.36476085319102,-1.31548711384471,-1.46872620843875,-1.13647448081074,-2.17806988271669,-2.28555593195104,-2.34145911222764,-3.28918159055352,-3.13319791654081,-2.94693145863961,-3.20652074073507,-3.50281899189489,-3.48354535674388,-4.00927518448226,-4.28751931970573,-5.17391415558074,-5.54804625218532,-6.07886897888189,-3.98316037884913,-4.19510902258696,-4.62990920091139,-4.04151987090446,-4.80053200181303,-4.21528712523183,-4.43581048147,-4.7033114115968,-3.9639537934648,-4.66743829163131,-4.84490143384835,-4.5051937905896,-4.65128142462503,-4.40643391592888,-4.86659439687724,-5.22505554554407,-5.26304180794369,-4.55871279971493,-5.00421399676254,-5.61767196917208,-5.19719475586007,-3.94467671396453,-4.797486272879,-4.79172526848579,-5.39645699858376,-5.76069877638039,-5.92024382762453,-5.41200858348051,-5.87364124321031,-5.28471155301839,-6.2920111857036,-7.12823528687933,-5.97191104065037,-6.28610991958529,-6.16640666104015,-7.10883201550557,-6.29050539743956,-6.19832823092071,-5.31690978858002,-6.46053156235711,-6.73438987068627,-6.3496531834653,-7.02185179774423,-6.45155148024659,-6.98927167572401,-6.23231994693828,-6.97182142981232,-6.74988422752353,-7.20552138336821,-7.42634095117345,-6.72193519598483,-7.19236324340093,-6.70817728272303,-6.9147012137342,-6.36063594507103,-7.59634865089108,-6.93699152320387,-5.55409622606284,-6.77596788326104,-6.44015632535531,-6.5612344227875,-6.46079877463824,-6.64884039712458,-7.8761826207834,-6.83014483427449,-6.74766991911549,-7.5547301972329,-6.51762317967383,-7.7179141056786,-5.91960217324437,-6.74273417416817,-6.56053698327061,-7.40589292343302,-6.93741718465296,-4.97346949946847
"block 7",2.52559406216037,1.82047210922495,0.988783999521866,-0.41387879094673,-0.25154215899964,0.542624901736742,-1.10751429274372,1.1101553458429,-0.925964601086252,-1.48312923650726,-1.75830432450572,-2.77757639407492,-3.1865203535556,-3.06416476455064,-2.77973425979212,-2.84057400811185,-3.57776479772679,-3.30124126213497,-3.52013216459093,-4.1533303685506,-4.51433868129699,-5.07929687951461,-6.92691581334055,-5.80234340455268,-4.74567610079923,-5.67807809447838,-4.79498051035777,-4.66053006342797,-5.89197233315986,-5.15797791671184,-5.74739669183702,-4.82678980874022,-5.00147988052844,-5.31316420385199,-5.10613836700886,-4.72941402787248,-5.85859272337095,-5.39790429696567,-5.64251400388228,-5.44695851378861,-6.31368504572738,-5.43585798492952,-5.77256677974635,-5.4073810493749,-6.26452788350475,-4.78463609739135,-4.72730229373172,-6.33972080878122,-5.7480412768939,-6.59664607029803,-6.69177637802745,-6.04631378207123,-5.62996023089949,-6.33930675640885,-6.2536468299766,-6.87516525256241,-7.09646526741702,-6.82655508800778,-5.73375804406917,-6.82385120214305,-6.97793649586033,-6.60289093845684,-7.09244313071972,-7.02896267591133,-6.45386305674686,-6.72591169861236,-7.00915688590803,-6.24508256894746,-6.61071664949239,-6.68657818784376,-7.42538585394833,-6.89627978331064,-7.71900891301739,-5.99721815671957,-6.74696662830214,-7.01938386478831,-6.60232971845242,-7.53863660393759,-6.417699510818,-6.88958653223924,-6.3120811521604,-5.5126154392101,-6.99571576245993,-6.42713053354571,-7.02276915741875,-6.31067800604746,-6.45262044080518,-6.91161385347948,-6.45071272859796,-7.15814978310604,-6.6919056710873,-7.61371271296378,-7.04340304410727,-7.1960061903288,-6.34346206216113,-6.8498837124452,-6.77433047360296,-6.27840028655123,-5.23688363939746
"block 8",5.33803150934438,0.876025966743677,1.16365699965727,0.998311468968686,0.661668653595491,0.30071329447004,0.195681495461589,-0.587117726026179,-1.22087243705328,-1.6163596990696,-0.729595546934666,-3.27596099140625,-2.59586855375534,-3.15042658192421,-3.72827277543475,-3.09816137328257,-4.45270136059696,-3.89689984990521,-3.20435723111401,-3.67828047855664,-4.34782980567697,-4.91522650921719,-5.9874371581314,-5.80106372789079,-5.64961079682172,-6.52047718744207,-5.20792037939627,-4.99527223806415,-5.59035974640285,-5.63524627339187,-5.08303498763203,-5.19494874934784,-5.60958670218132,-7.5477939585619,-5.35459664100402,-5.29160805488453,-4.99301041166469,-5.55333915102548,-5.48793307633827,-5.91361554565257,-5.47554526720517,-5.99232706569854,-6.05773953141006,-5.24963132788642,-6.59742444071428,-5.05640060070172,-4.94842047010721,-6.60835370343936,-7.0294661972066,-5.91570257194203,-6.34856258258683,-6.43212857993172,-7.38924643389143,-6.19978479032534,-6.52116562842046,-5.69724122089917,-6.6277204970842,-6.14817483673987,-6.97719250659939,-6.32332718660473,-6.31054943857627,-6.15223629902468,-6.63164501042133,-6.12862717837471,-7.08869649758166,-6.33991264402404,-6.43669682488949,-7.00486537830536,-6.26692376373792,-6.45237674362264,-6.36987871679631,-6.35154851432547,-7.05987278914232,-6.86955059809564,-6.80086699626871,-6.8342393057248,-6.54822601367442,-7.41472828176374,-7.01597640109218,-7.08419233346628,-6.62011873874222,-5.38950764738431,-6.50651305508271,-6.66141208854753,-6.77715559054512,-6.88645409562311,-6.03898131405569,-6.8487381600083,-6.54360433368018,-6.56240763896852,-6.74087677638077,-7.10445655476359,-7.37963136788967,-6.6216535547766,-6.42346779778047,-8.01468137492456,-6.19917607135127,-6.63962687179203,-5.23567678079741
"block 9",5.12219080745432,0.874459673092478,-0.395646064564722,-0.124052117218149,0.0560753743942851,-0.110952031799719,-0.244088950507451,-0.533787827312057,-1.47825539161709,-1.75311520184763,-1.77852143590672,-1.44691041656347,-1.46591977340248,-2.93591335060466,-3.48946090654352,-2.86783410272708,-3.84843684406457,-3.6686102282817,-5.28607585538126,-3.76379173550509,-5.04139857451643,-4.49973686036445,-6.48308371783207,-6.1911431532852,-5.04769579766936,-5.65192693393967,-5.8025343978654,-4.85418910206387,-4.48928563209755,-5.06022981112081,-5.51451944187132,-5.94530096911217,-5.71767366430562,-4.9446209669851,-5.4503858102941,-4.98234760745158,-5.66344775006543,-5.46456602212381,-5.18756274454756,-6.23238866153402,-5.89808346838718,-5.95604258609898,-6.43537745572097,-6.32538289961884,-5.39078890832911,-4.3264669169699,-5.52174476716273,-5.97599483669022,-6.09910390723292,-6.93552918065834,-6.2937091821875,-6.90739235514659,-6.72892108294983,-6.01543783431773,-7.10412267612528,-6.0695284403803,-6.46624500910677,-6.72853847722022,-6.08911687096225,-6.18003052538641,-6.38850534131819,-6.69846850130901,-7.56224267515241,-6.27187964165716,-6.30477855089846,-6.10106599103125,-7.14476951409592,-6.48713501297562,-7.05293951456243,-7.38915122838378,-7.38333888264622,-6.85577895464703,-6.77984868052178,-6.9856151007076,-6.17942853777305,-6.73643352470633,-7.19592164464999,-6.90764503269174,-7.01322324558155,-6.71976254105759,-6.77432423737842,-5.30515581753444,-6.59374430629956,-5.83714505850683,-6.9811285309206,-6.67015812345995,-6.44055317124769,-6.55012613169998,-7.07935950762923,-6.7440611184849,-7.14772799786349,-6.66397921670969,-6.67583119747481,-6.09443448287364,-6.49256622406211,-6.68572103209479,-6.38072968889449,-6.21327170143961,-5.24794072489332
