"","f(3)","f(9)","f(15)","f(20)","f(27)","f(33)","f(39)","f(45)","f(51)","f(57)","f(63)","f(69)","f(75)","f(81)","f(87)","f(93)","f(99)","f(105)","f(110)","f(117)","f(123)","f(129)","f(135)","f(141)","f(147)","f(153)","f(159)","f(165)","f(171)","f(177)","f(183)","f(189)","f(194)","f(201)","f(207)","f(213)","f(219)","f(225)","f(231)","f(237)","f(243)","f(248)","f(255)","f(261)","f(267)","f(273)","f(279)","f(285)","f(291)","f(297)","f(303)","f(309)","f(315)","f(321)","f(327)","f(333)","f(339)","f(345)","f(351)","f(357)","f(363)","f(369)","f(375)","f(381)","f(387)","f(393)","f(399)","f(405)","f(411)","f(417)","f(423)","f(429)","f(435)","f(441)","f(447)","f(453)","f(459)","f(465)","f(471)","f(477)","f(483)","f(489)","f(495)","f(501)","f(507)","f(513)","f(519)","f(525)","f(531)","f(537)","f(543)","f(549)","f(555)","f(561)","f(567)","f(573)","f(579)","f(585)","row means"
"block 0",1.67076698619988,2.06716746261137,1.06818087422086,-0.186461055206729,0.337348440612796,0.206774400928208,0.236120978891003,-0.374319063782666,-1.66804747965565,-1.46626022154619,-1.46651394494921,-2.24414855240026,-1.90041726448186,-2.66786544205824,-2.95951619720998,-3.32616199577137,-3.35568811339507,-3.90757054938843,-4.85616496247942,-3.88202514651553,-4.28143013117037,-5.35161156235964,-6.71794133630809,-6.55517795217539,-5.79231909026128,-5.53528328139195,-5.0545340092006,-4.78727733970389,-4.86637956494362,-5.20430730326819,-4.626563373863,-4.84537329807657,-5.13867490899014,-5.25149691325809,-5.85548030017365,-5.30536133785764,-5.50510606360999,-4.86115243566728,-6.15798611213899,-5.82158350671269,-6.86071616115022,-5.97481825971794,-4.94405257423667,-4.82692969138593,-5.9884061233833,-5.15025959926933,-6.31407657372537,-6.03579459085153,-5.43084400395864,-5.85381422213538,-6.20065942739998,-6.4352142192333,-6.82536805648152,-5.23114505674052,-6.52538473869401,-6.63699966889944,-6.74752613045319,-6.09845876114754,-5.96652301587543,-6.83179417260299,-6.40632273378764,-7.03864325822849,-6.84927209387141,-6.52865151301258,-6.89543683895553,-6.65255588997266,-6.79888163356623,-6.79554119154651,-6.68444526229281,-7.52851906138837,-7.38737903205053,-7.88383649687425,-6.87243536549452,-7.37071609750294,-7.52868470625565,-6.52298410869144,-6.80726569742577,-6.89617125889972,-6.30540084480408,-6.4414272911421,-6.58724384648231,-6.53718738585536,-7.17963150916315,-6.99515304962277,-6.81496180952413,-6.97696663920802,-6.62867604638463,-6.40368513799244,-7.51305790864996,-6.45460293457613,-6.35156437685043,-6.5604619832669,-6.98595334613774,-7.637893808967,-6.67055960378277,-6.91955690377375,-6.4417787162416,-6.75583559473173,-5.28242823153902
"block 1",2.41558099499354,0.93399274972111,0.833569977841474,-0.26262402426858,0.782647563672294,-0.222469805124417,-0.700847570902615,-0.540084401403493,-1.13792547836608,-1.38072516719603,-1.34377729671528,-1.91116607285349,-2.04701746338414,-2.57378344389301,-3.47952041702512,-3.76703865620483,-3.84625587737621,-3.30473366328253,-4.16624618847156,-4.17804122975068,-5.16092527556596,-5.33038636703113,-6.6009030206217,-6.9000908205742,-5.70437024571996,-4.53427808431807,-6.22235963857286,-4.13367619433938,-5.39199671479617,-5.13698194213132,-5.00791528537016,-5.1238654288695,-5.3697382011314,-5.92213481449678,-5.66148676442405,-5.6935210266495,-5.66355272513909,-5.19852751997884,-5.46662883377398,-5.83285403529589,-5.7128065229154,-5.48411908628562,-5.5702921265269,-5.25858377854996,-5.75925232695254,-6.30373286065781,-6.06198676933235,-5.47018674237952,-5.90560366254774,-6.86085543743302,-5.55464314150889,-6.06036152435341,-5.5808226889363,-7.46368338252657,-6.69254055205016,-6.54184306318254,-6.23619616405657,-7.0490336842403,-6.25829388485937,-7.45169395761579,-7.25355240751974,-6.10983326641149,-7.47910161321602,-6.10978082570768,-6.88127995847837,-6.49461132438995,-7.17678184264395,-6.7511106094745,-6.88063873592837,-7.95150977931092,-6.79031967194376,-6.18537392423604,-7.28822277071823,-6.65765774927192,-6.15982391142786,-6.49737244028088,-6.23232073840606,-7.1420113117429,-6.52808384387591,-7.13024690876678,-7.04620427653158,-6.36963966368261,-6.96241876886777,-7.18277514240249,-7.43521837181637,-6.27494064454426,-7.06923822322362,-6.17730762280501,-6.37388395858225,-6.32946368614917,-7.02768282696973,-6.57584388412971,-6.88904645413045,-6.40350467037553,-6.56541083857494,-6.97421289490169,-6.82834339309143,-6.58762150176582,-5.30613857369384
"block 2",2.90785777130921,1.31707036009245,1.45096630801018,1.32223317418306,1.04861498404916,1.19665040770662,-1.12955327743936,-0.670223529598905,-1.07936405144661,-1.35031563501672,-1.20479777032984,-2.36403582184438,-2.76685863349233,-2.76699300689157,-2.62375870256823,-3.35785875056492,-3.7953582688761,-3.2893035818354,-3.58324744172329,-4.77993287257388,-5.61864307578446,-4.79025541006227,-6.81519275241435,-6.25093987251612,-5.58339932560199,-4.75474453761143,-4.99348816442568,-4.94309649998603,-4.63097763485275,-5.06267223059443,-5.01093947345275,-4.8301394048231,-5.69992042077963,-5.20254537092308,-5.18728759610251,-5.45951471936375,-5.10513104669055,-4.98023878553814,-5.41968867929688,-6.05789209685166,-5.88306727650991,-5.35978278407356,-5.69871442088345,-5.85172522852408,-5.4283186912859,-6.24990385683617,-6.07682109526148,-7.04194959495837,-6.58261085351985,-5.61465296010274,-6.96960321706509,-6.55633648842288,-6.1796130633493,-6.70056965114381,-6.75186349749705,-6.5135473219975,-6.32537524048763,-5.9960548474878,-6.07031836263109,-6.00735879330038,-5.74254058620863,-7.10208793865338,-6.33772855773626,-6.55160518443132,-6.65671874776,-6.68850407629154,-6.965983977476,-6.76999752725891,-7.02300666218774,-6.63269583086884,-6.8392229901548,-7.33980504918489,-6.35801619024309,-7.26462106925865,-6.86578007230069,-7.07693257664148,-6.94533203364638,-6.13816459053175,-6.52673940544074,-6.77951921234451,-6.75552406878846,-6.87853234881805,-6.28698028199425,-6.61371759737912,-7.15278767472233,-6.46948055321883,-6.10345141179484,-7.36466283249275,-6.48120685206033,-6.86491781036362,-5.92740328859485,-6.5814240965732,-7.12539362366731,-6.37546170371671,-6.94282519680656,-6.5191223976661,-6.55276892890663,-6.12621466058556,-5.1989793907003
"block 3",2.59535440526499,1.28091271696322,1.43027271896486,1.96772481030959,2.00098674455504,0.10957004559795,1.0072093750382,-0.612772304976022,-0.464618355897442,-1.87261639837989,-1.3262771966829,-2.23990483876708,-1.8643947913875,-2.6377752699739,-2.41841525943484,-4.3416004599832,-3.37242888055264,-4.31267860350204,-4.07740710813313,-4.20920832546429,-4.84117881768626,-5.24349644254879,-5.38309476292015,-6.92339711250648,-5.35877093102873,-4.78806423174163,-5.45577356201644,-4.72379734729864,-5.04462891183667,-4.81128874453394,-5.32376461231901,-5.47777233935869,-5.50400920878085,-5.8255068094835,-5.18452425526105,-5.5383408343802,-5.3159844449655,-6.53841158192164,-5.03585437732015,-5.45289831945388,-6.00134204430882,-7.09610412409041,-5.96204161805825,-4.97308147365651,-5.82772351930611,-5.68803400406975,-5.82461069380804,-7.06574540425422,-5.34288941230877,-6.55680902153099,-6.00947326420351,-6.52232813203168,-5.82129194268617,-5.99397820695952,-6.56229221367633,-5.80343883864838,-7.57256845797334,-6.29890278539637,-6.43716007097909,-7.2411877069221,-7.03850126896068,-6.5955157543091,-6.65629486772126,-7.18641684512301,-6.53477831879855,-6.53356759730819,-6.22909428700296,-7.12541361504249,-6.99679240781896,-6.74176738136022,-6.94866426123686,-6.60733712960241,-6.98820632260254,-7.90109270131423,-6.27799759520419,-7.2829096977832,-7.06910006088799,-7.30552325681592,-6.45699153128838,-6.65478232058904,-6.78365431248205,-6.49206592843985,-6.29708832947333,-6.31259916041341,-7.19897395766773,-7.08574329296527,-6.41785104931849,-6.32142696744864,-6.65825340320217,-6.36580617928508,-6.25466233150891,-6.97477955373129,-6.89529190626556,-7.01032192558294,-7.24815455155149,-7.35104325604848,-6.35968220752719,-6.051806118089,-5.23407733888207
"block 4",1.91369404059626,2.10777695263057,1.63608355248658,2.54605035804177,2.08172415392612,1.71959246339095,0.722792736955767,0.456752642375568,-0.650710898751422,-0.700527716330837,-1.15616455278308,-1.29565618018859,-2.0391888371396,-2.62950735592326,-2.14216765712822,-3.87739947725972,-2.40122974520416,-3.36568503365627,-3.57905656321851,-3.59159979638147,-4.09191749132793,-4.95025771448083,-5.23890463105606,-5.7120517037574,-5.78672788238631,-4.17423876720762,-4.34801634736007,-4.2655513462117,-3.56919457176723,-3.93974561986306,-2.97993604069095,-3.43193419026112,-3.76262351942366,-4.07812245488892,-4.81945870785591,-3.56911767769797,-4.83770139418723,-3.77320683798776,-4.73182850165175,-4.10589465649326,-4.26203199016273,-4.69047456342216,-4.41845022288325,-4.30901455889285,-4.32061806257864,-4.59889115734118,-4.51610423865636,-4.96342368740335,-5.53647358336748,-4.28370683989661,-4.86043863343623,-4.60549651161716,-5.23069162942486,-5.86802606367897,-5.80851588162241,-5.92762704155795,-5.29519829282418,-5.79160081953948,-6.10782048916882,-5.71541914557453,-5.37194169259451,-6.06091494029875,-5.99372256757113,-5.95133903747762,-6.021910526746,-5.90468288232664,-7.18236970569619,-6.1532531378479,-6.67418758491399,-7.16300633801821,-6.71056623592933,-6.20057724227819,-6.25302686320198,-6.55038058688563,-6.36286185092572,-5.94017044845874,-6.08474899004061,-6.86951240538129,-6.29728680703898,-6.77517288380967,-6.6064385059612,-7.11471320091815,-5.91091788312142,-6.3815465499817,-6.98129232427752,-6.45711185954884,-6.55912376093842,-7.14390330122682,-7.34680343630879,-6.64889884308411,-6.17070075395708,-6.63543970012702,-6.5951945592986,-6.27387551139909,-6.26618482651638,-7.30692535009146,-6.90353908011405,-6.95857544972829,-4.57452753068579
"block 5",1.58529316803913,0.398140917907782,1.5590341821408,1.36306398698679,0.768149571440843,1.05956409913409,1.02740212902023,0.634989286951547,-0.24349993331293,-0.702984674613239,-1.46761489540559,-1.60299647319951,-1.88219953559604,-1.67026795941789,-3.74904304650541,-2.41218525329724,-1.88570497409304,-2.17995128236383,-2.73118500154419,-3.48139078477872,-3.08718438785874,-3.23073774153473,-4.28738450945823,-5.03184567522629,-2.81513049887781,-2.11234918305795,-2.61480033451789,-2.41097372718718,-2.21341347925897,-1.86935295444753,-1.8573188809697,-2.39696532198799,-1.82211744964175,-2.25116923595421,-3.60675839348784,-1.60865101519122,-2.39828433845772,-2.25682893923498,-2.68630521328025,-2.39069134029475,-2.68910548139515,-3.65897327427411,-2.31348619547912,-2.31403046288578,-3.43453769515749,-3.23061000752706,-3.00362306619983,-2.61966452871669,-3.47771231472283,-3.08311541107778,-3.48436613826086,-3.59514821097482,-2.97427370210751,-4.08646116242508,-3.62112926062842,-3.62659462901262,-3.77499216400785,-4.00989028312006,-4.23572070775297,-4.33428154985899,-3.81651126427635,-4.06702060323469,-4.00677243508016,-3.55369874678414,-4.33804002146643,-6.25756968915325,-4.65719297506392,-5.64502073256367,-6.14235959216224,-6.78653267258597,-5.4238741094423,-4.55907120876944,-5.51820388802668,-6.06838328085576,-5.29711346018833,-5.01845051835771,-5.28019666030372,-5.45976596527183,-6.58136936910363,-6.00900143447518,-5.58409209889598,-6.1369143960454,-5.28498853940436,-5.3798340459028,-5.50887052229621,-6.79443878690211,-6.20970739854797,-6.1479559734956,-6.12498321236598,-5.46130039078887,-5.22667455936802,-5.96267725885421,-5.05630067727336,-5.64230899044593,-5.8354558952218,-6.20242712856603,-5.83496310613286,-5.96946908502221,-3.52019261255829
"block 6",1.40533814420713,1.69107851104014,1.44516677883871,1.51152838884503,1.17511707553085,0.475335542921613,0.623073717744028,0.887891697821251,-0.929986986442779,-0.620202161598709,-1.23949884050033,-2.19254525684003,-3.66635216988156,-2.2178722662137,-2.68150365668109,-3.45116528084993,-4.1258957312217,-3.28123376747808,-2.58108972089992,-2.66628412731572,-3.66562705426349,-3.99089510015645,-6.87569960833422,-5.57490597102882,-3.46738449178784,-2.86414110263038,-3.49016053887354,-4.0718885734067,-3.12098659806599,-4.04121195867757,-3.16643937899914,-2.83934885873479,-2.80558216197532,-3.55844792888039,-3.60003901899231,-3.8885521078809,-5.34585075347121,-2.87288827826196,-3.50607339036454,-4.19189768575451,-3.99514274181577,-3.95454351517608,-4.89049956267579,-3.84829712430053,-5.31974371074189,-3.49035686854849,-5.24237886768324,-4.31932750401501,-4.87726233897414,-4.15722610195309,-4.58515003483864,-4.38846837085546,-5.46654130473835,-6.15160954123975,-5.27794176850682,-5.44053023483508,-5.65351129898799,-5.23304556681803,-4.82132358887315,-5.6921791646154,-5.07752099019914,-5.29455135891383,-5.6309293017556,-6.25236603958629,-6.05459927729665,-6.19479788315921,-6.43257736169349,-6.88681903703404,-7.75445288834032,-6.50283872995977,-6.98607421337845,-5.91373242235241,-6.1643338445709,-6.11203794910727,-5.97334908099581,-5.91238469764613,-5.67309066591069,-6.15310074028423,-5.99146829254033,-7.044939944292,-6.94172915048687,-5.93411985282919,-6.78297003471945,-7.10884681987666,-7.26127428014956,-6.77497947718311,-6.01999086671252,-6.71696525154653,-6.97534101706436,-7.19372324123764,-5.99815131348919,-6.48359132333309,-7.27998693867316,-6.37286013543368,-7.63020172903911,-7.28580687320949,-7.07815752355698,-6.07535001465514,-4.49083888206041
"block 7",2.13442702073784,1.60203586300614,0.714857610247972,0.555683307728097,-0.521429891029744,-0.407776474688215,-0.969634754832557,-0.731153095634593,-1.55572197390916,-1.63541732834868,-1.41457472116502,-2.35792409372872,-2.99737402064671,-3.66613760709416,-3.17405625566311,-3.48563479550599,-3.43322636035731,-4.00447922154201,-5.62182272859007,-4.01213993463831,-4.51506634611279,-5.28474913366679,-5.95745732241829,-6.73968060192758,-4.72991502604915,-5.53215264320192,-5.54348748332803,-4.50272552257903,-4.71998035388419,-4.25908105792575,-4.74514497580015,-5.73467825533056,-5.23882744381631,-5.6144807046752,-5.19723988373809,-5.23081467867102,-4.87319660031377,-5.31279768964132,-5.68374059506297,-5.18674496498264,-5.38693892456295,-5.59279692795005,-6.4020705598148,-5.48273777111544,-5.69371777173512,-5.5506106480283,-5.7234708566252,-5.92121646831535,-5.31853382631981,-5.97875525113071,-7.03036347545086,-6.21934233118684,-6.69202074715326,-5.83851058495467,-6.52574662041987,-6.17670880774932,-6.27069781812873,-6.06028849263484,-6.90208832118795,-6.49215987188241,-6.64682526136693,-6.78991620942247,-6.69008075733973,-6.25878475878007,-6.5132690531458,-5.9606308910886,-6.4477301817675,-7.00055856328153,-7.36940001011382,-7.87481016137599,-7.47408197163509,-5.92281961174135,-5.59474650847617,-6.74423397131163,-6.95508524785045,-6.23156330797495,-6.50918803695578,-7.01680718610586,-6.76495840372302,-6.89665221409723,-6.56268847267982,-6.4234607303927,-7.1416263324943,-6.63506398485869,-6.2772422822592,-8.07242794875041,-6.46828317805806,-7.31975146416315,-7.25178714198355,-6.17320687786149,-6.86806044368771,-7.17779058353318,-6.63403862320118,-6.29680284986279,-6.48472162787681,-6.62850302252631,-7.45986901651393,-6.72732217940652,-5.27660230492643
"block 8",3.70588501937405,1.86012349192832,0.698694335684805,1.22712461355909,1.47973789227424,0.145415566313971,0.0576553105195968,-0.280588158911863,-0.680481462490285,-1.33493391472435,-1.71607797261305,-1.28918939660174,-2.52439892999507,-1.94318770143713,-2.61540736367129,-3.11328353294597,-3.03655400328892,-3.64580302136661,-3.35099846701773,-3.67849717616066,-4.08236196450139,-4.73780957036864,-6.07333369244401,-6.39064058299853,-5.37176390781744,-4.7092480563202,-4.87085086591205,-5.24755455717431,-4.47648827938453,-4.95235070872017,-5.69506167735111,-4.62414822512068,-4.91442891242696,-5.33616245939149,-5.07969078565798,-6.00505227344314,-4.63952738500668,-5.5388565701484,-5.60995687288826,-5.33269242707352,-5.69558269684817,-5.74344391366898,-6.03055625184877,-5.14758683297023,-6.42431423579888,-5.25498570120709,-6.1745272734422,-6.39727017703407,-7.05253749283249,-6.27986962231572,-6.36234648684622,-5.96630740539622,-6.05603672786081,-7.10052262017881,-5.91149226968441,-5.84144587518826,-5.81734893504478,-7.89119592568384,-6.57629975816551,-6.7695637338958,-6.06684274795722,-6.12422075509506,-6.38113322776085,-6.45014510397286,-7.42406162621437,-6.64316779476079,-6.51692063498642,-6.40466137165157,-6.50338991681134,-6.31248403916675,-6.57617786054718,-6.92001232158292,-6.57669261914538,-7.45202413426493,-6.7651847932648,-6.40314712618583,-7.06667692495065,-6.72594516495995,-7.1718748335845,-6.57462223982932,-6.99711262214642,-6.20199383389302,-7.25432394977177,-6.478739252785,-6.26808269533771,-6.67547148979641,-7.39374340896613,-7.5536335793731,-6.37165890639116,-6.26103197333033,-7.05506203713463,-6.21764923516662,-7.69896250321016,-7.04886579610179,-6.67534471345951,-6.1627059482995,-6.77782434609729,-6.5201892299048,-5.13150774836214
"block 9",2.01060056981288,1.76190609696134,1.12943514265942,-0.446173918324528,1.40577062346532,0.00428223366279165,0.299780402271572,-0.600566039885414,-0.876021765362126,-1.55998207727954,-1.4618275787414,-2.77733213577483,-1.50422517895734,-2.77392702309554,-3.33282044087679,-3.3869771405677,-4.61273999812414,-3.78907200345495,-3.95575889532545,-4.95536207533187,-4.79302596175462,-5.12402270627484,-6.18927065452574,-6.21140450612425,-5.5535657069932,-5.02879178644122,-4.55673138537933,-4.83720499140403,-4.78024827743679,-4.96267830300452,-5.39257256860604,-4.63530862309485,-5.35363281662881,-5.54088519409853,-5.65980005946299,-4.65483941727544,-5.40144245218236,-5.30183034785626,-5.74191661984736,-6.24915579710145,-4.84098065235903,-5.43049388271986,-5.69701971296858,-6.2874397559624,-5.90671553776908,-5.52173954047042,-6.59511235698305,-6.62345083296341,-6.45219386706,-5.54705515230987,-6.16167461702132,-7.07410429612169,-6.9132691790583,-5.88687800390827,-6.85717612197851,-7.10810600336176,-6.23937991248914,-6.02935018633221,-6.66139210443899,-7.22132659542434,-6.17585464104318,-5.99490008109072,-6.26073861046203,-6.29640060989024,-7.2729802444461,-6.53846522354073,-6.90160173951919,-6.81468271082133,-6.59377270648507,-7.08154715652472,-6.62480038816232,-6.88382168678688,-6.54131747381861,-6.92990565276108,-7.79720365681783,-6.61131211841273,-6.47998105421338,-6.11763853289651,-6.58986803440409,-6.14629147936099,-6.34859282274861,-6.38694726718651,-6.73802800296105,-6.92791324487691,-7.97473768386138,-6.59243090447683,-7.22108944622656,-6.35347470333355,-6.67922853758973,-6.45558042525733,-6.63838174350215,-6.43373794517971,-6.58916485448455,-6.24632367329477,-6.6123703477849,-6.84059941681738,-6.89205957568672,-6.72670639974953,-5.24239437230548
