"Participante","Canal","EpocaMOR","NumEpoca","Delta","Theta","Alfa","Beta","Gamma","Varianza","Ratio"
8,1,0,0,0.171767150349238,0.310905227440687,0.274431242069277,0.227309035459214,0.0155873446815842,2.73724154135338,0.961996473887859
8,1,0,0,0.14769402782952,0.26826509035145,0.257089465580135,0.268598992798013,0.0583524234408813,0.931433521303258,0.791265456853068
8,1,0,0,0.137294402453558,0.25407611835111,0.249318251591451,0.292215560181879,0.067095667422002,0.304801754385965,0.722707451124925
8,1,0,0,0.12916668448905,0.237147134213933,0.23801750399884,0.318909477221506,0.0767592000766704,0.305889724310777,0.65774119598284
8,1,0,0,0.128555717763591,0.235075604169788,0.234593040422225,0.326218489076318,0.0755571485680779,0.278315538847118,0.648402008172913
8,1,0,0,0.135995611164966,0.249212515466921,0.245518263077549,0.307812049008174,0.0614615612823897,0.287917230576441,0.696163066107627
8,1,0,0,0.274105839350133,0.427289789385644,0.249376499421824,0.0410907007521688,0.00813717109023008,2.7081578320802,2.41471542506566
8,1,0,0,0.333630466568911,0.464336734104162,0.174649046395077,0.0207764447738215,0.00660730815802881,4.56927293233083,4.08322985860336
8,1,0,0,0.304224069092858,0.456321413700623,0.186823287628485,0.0318648192640723,0.0207664103139611,2.14731672932331,3.4777633479956
8,1,0,0,0.116818403888754,0.216383082624301,0.220021565666719,0.334069463831193,0.112707483989034,0.334616290726817,0.601347917173436
8,1,0,0,0.111491702623096,0.2066580733619,0.212741382359771,0.343453908654426,0.125654933000807,0.184579197994987,0.572010912578682
8,1,0,0,0.191943070700934,0.324121797392584,0.273686211682491,0.166911908495802,0.0433370117281899,0.516258082706767,1.17128250089829
8,1,0,0,0.128838406579359,0.24329636306858,0.244703035488283,0.325065999581671,0.058096195282107,0.561269172932331,0.653132667348709
8,1,0,0,0.109542565758636,0.208438926844872,0.22366586506593,0.388289460518725,0.0700631818118377,0.502813032581454,0.519615532881772
8,1,0,0,0.165387710241719,0.291437326034563,0.270960602604317,0.239043368004728,0.0331709931146732,0.659558834586466,0.895728391547115
8,1,0,0,0.170543429113816,0.306661122154615,0.277755305653232,0.217045572867238,0.0279945702110994,0.653120551378446,0.964437558589924
8,1,0,0,0.15174571505744,0.275288339723095,0.259467947755535,0.27267532788558,0.0408226695783495,0.566321804511278,0.802479471841588
