"Participante","Canal","EpocaMOR","NumEpoca","Delta","Theta","Alfa","Beta","Gamma","Varianza","Ratio"
1,1,0,0,0.219026171934909,0.375455892442026,0.278077049119848,0.103183855435388,0.0242570310678281,1.63226842105263,1.55925262011963
1,1,0,0,0.257813038243745,0.424856328961313,0.25396285301394,0.0498206450613834,0.0135471347196185,4.3918540726817,2.24722334007685
1,1,0,0,0.299085762535308,0.467214684974892,0.198693934885835,0.0282820919990274,0.00672352560493709,7.71507543859649,3.37612944427351
1,1,0,0,0.228769659162934,0.383773795718491,0.280775289748585,0.0898673485740218,0.0168139067959678,4.15270169172932,1.65265242459306
1,1,0,0,0.223108816962599,0.375281201681822,0.273124557816904,0.092897930527744,0.0355874930109311,1.40428565162907,1.63484495543065
1,1,0,0,0.29182503879572,0.449826236088434,0.212074699034756,0.0316547532042559,0.0146192728768335,4.74325056390977,3.04292841128145
1,1,0,0,0.277054524284444,0.436562897710319,0.232372736652882,0.0415178022059425,0.0124920391464124,5.98744104010025,2.60548401915625
1,1,0,0,0.233259413863433,0.389651842289454,0.274844841023333,0.0819993622206954,0.0202445406030844,4.12876591478697,1.74561125132502
1,1,0,0,0.247986750208218,0.410453432400656,0.268618614898314,0.0604500416588064,0.0124911608340049,4.20105664160401,2.00092038390347
1,1,0,0,0.205666949814087,0.361962366295997,0.282843320339037,0.132809148382226,0.0167182151686529,2.88398897243108,1.36563441534793
1,1,0,0,0.203117743550627,0.352447542311027,0.284423307754124,0.139539711198867,0.0204716951853544,3.36173533834586,1.31040977874359
1,1,0,0,0.315920735552992,0.485149635732752,0.172195794339179,0.0218741537654999,0.00485968060957763,9.48216635338346,4.12774043126789
1,1,0,0,0.299622710767213,0.470666469650049,0.188282072417286,0.0325054552754908,0.00892329188996111,7.42439542606516,3.48882560743698
1,1,0,0,0.224775986528632,0.370816009434068,0.274884655010856,0.0937161003138286,0.0358072487126155,1.87859893483709,1.61581870725704
1,1,0,0,0.226881138117914,0.377101997720364,0.273499339618727,0.0889016167364553,0.03361590780654,2.61024254385965,1.66661573388985
1,1,0,0,0.264521398468316,0.4182584631127,0.245712586522566,0.0488755232274917,0.0226320286689271,2.34677669172932,2.31774412809912
1,1,0,0,0.27465526839801,0.426120783089872,0.247741102942279,0.0360112571480862,0.0154715884217522,2.89305256892231,2.46967479412227
1,1,0,0,0.32155752517965,0.491955353736284,0.152912780294648,0.0255461969639341,0.00802814382548469,5.38204104010025,4.55854276099081
1,1,0,0,0.3010257730432,0.463762277529445,0.19005420020711,0.0349532683071276,0.0102044809131167,4.66559893483709,3.39894518000967
1,1,0,0,0.21901086648808,0.367744056426935,0.277195768171338,0.107675386920063,0.0283739219935835,2.56016986215539,1.52454896957832
1,1,0,0,0.24405212242285,0.399948393907863,0.254328051737378,0.0701949845701939,0.0314764473617147,1.89194981203008,1.9844523940678
1,1,0,0,0.127363145161719,0.241135492874308,0.2476236203323,0.322312080236718,0.0615656613949563,0.889984398496241,0.646561774719712
1,1,0,0,0.181786561511081,0.321442505274474,0.279376031912124,0.193982826421864,0.0234120748804564,2.368271679198,1.06310267131516
1,1,0,0,0.317387192510161,0.454884169430675,0.205278328567152,0.0164135193301581,0.00603679016185373,10.5160338345865,3.48353522813595
1,1,0,0,0.343602885801252,0.49054966913949,0.147115948968326,0.0154345334327869,0.00329696265814563,18.7447227443609,5.13165228807118
1,1,0,0,0.326045541448929,0.475585974380556,0.173236083463632,0.0212636365919947,0.00386876411488716,13.8657127192982,4.12150472813132
1,1,0,0,0.222743167754611,0.378881048952928,0.281166678889646,0.103673438575592,0.013535665827222,4.57490419799499,1.56330951323411
1,1,0,0,0.229913195302592,0.383814844232083,0.278700631535593,0.0918645031869471,0.0157068257427861,3.72575031328321,1.65619477394764
1,1,0,0,0.273058183676328,0.431993019407622,0.230232762692862,0.0513723887480329,0.0133436454751552,4.33407763157895,2.50368716437323
1,1,0,0,0.233946466789067,0.387829208204988,0.273459309374368,0.0799877542026951,0.0247772614288818,2.89351979949875,1.75917623618477
1,1,0,0,0.293070611834137,0.454892971835862,0.195555664580975,0.0388581071326483,0.0176226446163781,2.8251272556391,3.19078345185182
1,1,0,0,0.297710415045859,0.442698031105781,0.216990850688893,0.0302255688822128,0.012375134277254,3.89069448621554,2.99498086509047
1,1,0,0,0.23971290788386,0.385008830724939,0.270884281072455,0.0850762723299049,0.019317707988842,3.03398339598998,1.75503081068268
1,1,0,0,0.216526842532891,0.362702994902218,0.282089292233694,0.121368365629417,0.01731250470178,3.12316484962406,1.43566450195285
1,1,0,0,0.243010826585781,0.392894603431407,0.283644273528302,0.0708045696723657,0.00964572678214426,4.81073878446115,1.79406829001041
1,1,0,0,0.270341006505517,0.42540389786966,0.245360946371175,0.0460201914520422,0.0128739578016053,3.37565908521303,2.38774860161775
1,1,0,0,0.205588541330076,0.35517298896375,0.279460275980384,0.125239015407532,0.0345391783182583,1.49218045112782,1.38562518449364
1,1,0,0,0.205554368777715,0.347062722993092,0.279511076390004,0.12690109360525,0.0409707382339395,1.29469072681704,1.35974543227202
1,1,0,0,0.145952200780557,0.264907926725784,0.253417022694064,0.2699846296867,0.0657382201128949,0.79578320802005,0.784980570155803
1,1,0,0,0.18418711674562,0.325512428161667,0.271560931586974,0.172767674989922,0.0459718485158174,1.36254611528822,1.14712295666491
1,1,0,0,0.244562408676585,0.394773925253976,0.272614795305728,0.0641359905323797,0.0239128802313311,2.30993226817043,1.8985444453808
